95,深川,1,11103,1,1,,28,37,43.721021,142.041642,1110338,1110338,1110338,
96,納内,1,11103,1,1,,28,37,43.732509,142.130072,1110339,1110339,1110339,
97,伊納,1,11103,1,1,,4,13,43.763305,142.27167,1110340,1110340,1110340,1
98,近文,1,11103,1,1,,4,13,43.789193,142.325327,1110341,1110341,1110341,
99,旭川,1,11103,1,1,,4,13,43.763492,142.357803,1110342,1110342,1110342,
100,長万部,1,11104,1,1,,46,55,42.512477,140.37507,1110401,1110138,1110401,
101,静狩,1,11104,1,1,,46,55,42.584065,140.460025,1110402,1110402,1110402,
102,小幌,1,11104,1,1,,137,146,42.589731,140.537361,1110403,1110403,1110403,
103,礼文,1,11104,1,1,,137,146,42.580422,140.595013,1110404,1110404,1110404,
104,大岸,1,11104,1,1,,137,146,42.585969,140.639036,1110405,1110405,1110405,
105,豊浦,1,11104,1,1,,137,146,42.580323,140.71536,1110406,1110406,1110406,
106,洞爺,1,11104,1,1,,141,150,42.55055,140.763959,1110407,1110407,1110407,
107,有珠,1,11104,1,1,,32,41,42.513267,140.793969,1110408,1110408,1110408,
108,長和,1,11104,1,1,,32,41,42.488262,140.833783,1110409,1110409,1110409,
109,伊達紋別,1,11104,1,1,,32,41,42.469395,140.855802,1110410,1110410,1110410,
110,北舟岡,1,11104,1,1,,32,41,42.450528,140.880259,1110411,1110411,1110411,
111,稀府,1,11104,1,1,,32,41,42.425567,140.898836,1110412,1110412,1110412,
112,黄金,1,11104,1,1,,32,41,42.386441,140.907781,1110413,1110413,1110413,
113,崎守,1,11104,1,1,,5,14,42.373968,140.927141,1110414,1110414,1110414,
114,本輪西,1,11104,1,1,,5,14,42.358734,140.977561,1110415,1110415,1110415,
115,室蘭,1,11104,1,1,,5,14,42.317864,140.97571,1110416,1110416,1110416,
116,母恋,1,11104,1,1,,5,14,42.317295,140.990018,1110417,1110417,1110417,
117,御崎,1,11104,1,1,,5,14,42.329014,140.993881,1110418,1110418,1110418,
118,輪西,1,11104,1,1,,5,14,42.333775,141.005743,1110419,1110419,1110419,
119,東室蘭,1,11104,1,1,,5,14,42.349374,141.026411,1110420,1110420,1110420,
120,鷲別,1,11104,1,1,,30,39,42.35953,141.042759,1110421,1110421,1110421,
121,幌別,1,11104,1,1,,30,39,42.409782,141.107293,1110422,1110422,1110422,
122,富浦,1,11104,1,1,,30,39,42.441957,141.156878,1110423,1110423,1110423,
123,登別,1,11104,1,1,,30,39,42.45207,141.180931,1110424,1110424,1110424,
124,虎杖浜,1,11104,1,1,,139,148,42.464695,141.215092,1110425,1110425,1110425,
125,竹浦,1,11104,1,1,,139,148,42.49284,141.260395,1110426,1110426,1110426,
126,北吉原,1,11104,1,1,,139,148,42.509119,141.286199,1110427,1110427,1110427,
127,萩野,1,11104,1,1,,139,148,42.521159,141.30603,1110428,1110428,1110428,
128,白老,1,11104,1,1,,139,148,42.55474,141.360054,1110429,1110429,1110429,
129,社台,1,11104,1,1,,139,148,42.578682,141.417433,1110430,1110430,1110430,
130,錦岡,1,11104,1,1,,13,22,42.6025,141.48722,1110431,1110431,1110431,
131,糸井,1,11104,1,1,,13,22,42.6225,141.546187,1110432,1110432,1110432,
132,青葉,1,11104,1,1,,13,22,42.62999,141.568278,1110433,1110433,1110433,
133,苫小牧,1,11104,1,1,,13,22,42.639665,141.596837,1110434,1110434,1110434,
134,苫小牧,1,11105,1,1,,13,22,42.639665,141.596837,1110501,1110434,1110501,
135,沼ノ端,1,11105,1,1,,13,22,42.672057,141.693132,1110502,1110502,1110502,
136,遠浅,1,11105,1,1,,142,151,42.729533,141.769568,1110503,1110503,1110503,
137,早来,1,11105,1,1,,142,151,42.765237,141.814106,1110504,1110504,1110504,
138,安平,1,11105,1,1,,142,151,42.814007,141.825283,1110505,1110505,1110505,
139,追分,1,11105,1,1,,142,151,42.873316,141.810678,1110506,1110506,1110506,
140,三川,1,11105,1,1,,76,85,42.945029,141.800778,1110507,1110507,1110507,
141,古山,1,11105,1,1,,76,85,42.975256,141.793969,1110508,1110508,1110508,
142,由仁,1,11105,1,1,,76,85,43.012206,141.785868,1110509,1110509,1110509,
143,栗山,1,11105,1,1,,78,87,43.058164,141.775603,1110510,1110510,1110510,
144,栗丘,1,11105,1,1,,10,19,43.085444,141.744333,1110511,1110511,1110511,
145,栗沢,1,11105,1,1,,10,19,43.120367,141.739743,1110512,1110512,1110512,
146,志文,1,11105,1,1,,10,19,43.158903,141.744443,1110513,1110513,1110513,
147,岩見沢,1,11105,1,1,,10,19,43.204201,141.759359,1110514,1110327,1110514,
148,滝川,1,11106,1,1,,25,34,43.555278,141.900807,1110601,1110335,1110601,
149,東滝川,1,11106,1,1,,25,34,43.574037,141.98031,1110602,1110602,1110602,
150,赤平,1,11106,1,1,,18,27,43.555144,142.048669,1110603,1110603,1110603,
151,茂尻,1,11106,1,1,,18,27,43.537314,142.082156,1110604,1110604,1110604,
152,平岸,1,11106,1,1,,18,27,43.541401,142.123872,1110605,1110605,1110605,
153,芦別,1,11106,1,1,,16,25,43.516636,142.184543,1110606,1110606,1110606,
154,上芦別,1,11106,1,1,,16,25,43.48871,142.210855,1110607,1110607,1110607,
155,野花南,1,11106,1,1,,16,25,43.474418,142.261772,1110608,1110608,1110608,
156,島ノ下,1,11106,1,1,,29,38,43.3744,142.350406,1110609,1110609,1110609,1
157,富良野,1,11106,1,1,,29,38,43.347114,142.391374,1110610,1110610,1110610,
158,布部,1,11106,1,1,,29,38,43.291991,142.400595,1110611,1110611,1110611,
159,山部,1,11106,1,1,,29,38,43.244645,142.381522,1110612,1110612,1110612,
160,下金山,1,11106,1,1,,97,106,43.197328,142.415402,1110613,1110613,1110613,
161,金山,1,11106,1,1,,97,106,43.136115,142.416201,1110614,1110614,1110614,
162,東鹿越,1,11106,1,1,,97,106,43.164011,142.523472,1110615,1110615,1110615,
163,幾寅,1,11106,1,1,,97,106,43.161582,142.569474,1110616,1110616,1110616,
164,落合,1,11106,1,1,,97,106,43.125055,142.669104,1110617,1110617,1110617,
165,新得,1,11106,1,1,,155,164,43.082501,142.832432,1110618,1110618,1110618,
166,新得,1,11107,1,1,,155,164,43.082501,142.832432,1110701,1110618,1110701,
167,十勝清水,1,11107,1,1,,156,165,43.012892,142.879535,1110702,1110702,1110702,
168,羽帯,1,11107,1,1,,156,165,42.957499,142.906646,1110703,1110703,1110703,1
169,御影,1,11107,1,1,,156,165,42.942418,142.935739,1110704,1110704,1110704,
170,芽室,1,11107,1,1,,157,166,42.909846,143.047991,1110705,1110705,1110705,
171,大成,1,11107,1,1,,157,166,42.91605619,143.0696659,1110706,1110706,1110706,
172,西帯広,1,11107,1,1,,7,16,42.923941,143.126351,1110707,1110707,1110707,
173,柏林台,1,11107,1,1,,7,16,42.928877,143.1645,1110708,1110708,1110708,
174,帯広,1,11107,1,1,,7,16,42.917997,143.20195,1110709,1110709,1110709,
175,札内,1,11107,1,1,,162,171,42.912697,143.256248,1110710,1110710,1110710,
176,稲士別,1,11107,1,1,,162,171,42.903963,143.297528,1110711,1110711,1110711,1
177,幕別,1,11107,1,1,,162,171,42.90784,143.359293,1110712,1110712,1110712,
178,利別,1,11107,1,1,,163,172,42.934706,143.424445,1110713,1110713,1110713,
179,池田,1,11107,1,1,,163,172,42.922186,143.453033,1110714,1110714,1110714,
180,十弗,1,11107,1,1,,164,173,42.855781,143.500797,1110715,1110715,1110715,
181,豊頃,1,11107,1,1,,164,173,42.817548,143.538615,1110716,1110716,1110716,
182,新吉野,1,11107,1,1,,168,177,42.778238,143.60826,1110717,1110717,1110717,
183,浦幌,1,11107,1,1,,168,177,42.810849,143.651568,1110718,1110718,1110718,
184,上厚内,1,11107,1,1,,168,177,42.831881,143.749788,1110719,1110719,1110719,1
185,厚内,1,11107,1,1,,168,177,42.809539,143.814389,1110720,1110720,1110720,
186,直別,1,11107,1,1,,6,15,42.852205,143.863607,1110721,1110721,1110721,1
187,尺別,1,11107,1,1,,6,15,42.869163,143.904331,1110722,1110722,1110722,1
188,音別,1,11107,1,1,,6,15,42.888997,143.932442,1110723,1110723,1110723,
189,古瀬,1,11107,1,1,,175,184,42.947893,144.008589,1110724,1110724,1110724,1
190,白糠,1,11107,1,1,,175,184,42.956161,144.076879,1110725,1110725,1110725,
191,西庶路,1,11107,1,1,,175,184,42.976138,144.129826,1110726,1110726,1110726,
192,庶路,1,11107,1,1,,175,184,42.983601,144.150018,1110727,1110727,1110727,
193,大楽毛,1,11107,1,1,,6,15,43.009078,144.273879,1110728,1110728,1110728,
194,新大楽毛,1,11107,1,1,,6,15,43.009423,144.295558,1110729,1110729,1110729,
195,新富士,1,11107,1,1,,6,15,43.001605,144.350758,1110730,1110730,1110730,
196,釧路,1,11107,1,1,,6,15,42.990584,144.381983,1110731,1110731,1110731,
197,釧路,1,11108,1,1,,6,15,42.990584,144.381983,1110801,1110731,1110801,
198,東釧路,1,11108,1,1,,6,15,42.995207,144.411307,1110802,1110802,1110802,
199,武佐,1,11108,1,1,,6,15,42.991364,144.426681,1110803,1110803,1110803,
200,別保,1,11108,1,1,,169,178,42.994384,144.469596,1110804,1110804,1110804,
201,上尾幌,1,11108,1,1,,170,179,43.032893,144.61239,1110805,1110805,1110805,
202,尾幌,1,11108,1,1,,170,179,43.018463,144.703758,1110806,1110806,1110806,
203,門静,1,11108,1,1,,170,179,43.057581,144.782638,1110807,1110807,1110807,
204,厚岸,1,11108,1,1,,170,179,43.056248,144.841355,1110808,1110808,1110808,
205,糸魚沢,1,11108,1,1,,170,179,43.103506,144.92545,1110809,1110809,1110809,1
206,茶内,1,11108,1,1,,171,180,43.129266,145.02801,1110810,1110810,1110810,
207,浜中,1,11108,1,1,,171,180,43.15754,145.099657,1110811,1110811,1110811,
208,姉別,1,11108,1,1,,171,180,43.196201,145.194716,1110812,1110812,1110812,
209,厚床,1,11108,1,1,,23,32,43.228224,145.252096,1110813,1110813,1110813,
210,初田牛,1,11108,1,1,,23,32,43.204542,145.32277,1110814,1110814,1110814,1
211,別当賀,1,11108,1,1,,23,32,43.218427,145.423593,1110815,1110815,1110815,
212,落石,1,11108,1,1,,23,32,43.198335,145.519449,1110816,1110816,1110816,
213,昆布盛,1,11108,1,1,,23,32,43.228593,145.542444,1110817,1110817,1110817,
214,西和田,1,11108,1,1,,23,32,43.268043,145.541817,1110818,1110818,1110818,
215,花咲,1,11108,1,1,,23,32,43.295388,145.575045,1110819,1110819,1110819,1
216,東根室,1,11108,1,1,,23,32,43.323655,145.597234,1110820,1110820,1110820,
217,根室,1,11108,1,1,,23,32,43.326923,145.582707,1110821,1110821,1110821,
218,苫小牧,1,11109,1,1,,13,22,42.639665,141.596837,1110901,1110434,1110901,
219,沼ノ端,1,11109,1,1,,13,22,42.672057,141.693132,1110902,1110502,1110902,
220,植苗,1,11109,1,1,,13,22,42.713645,141.735344,1110903,1110903,1110903,
221,美々,1,11109,1,1,,24,33,42.777418,141.711387,1110904,1110904,1110904,1
222,新千歳空港,1,11109,1,1,,24,33,42.787546,141.680823,1110905,1110905,1110905,
223,南千歳,1,11109,1,1,,24,33,42.80804,141.675388,1110906,1110906,1110906,
224,千歳,1,11109,1,1,,24,33,42.82811,141.651934,1110907,1110907,1110907,
225,長都,1,11109,1,1,,24,33,42.852178,141.622987,1110908,1110908,1110908,
226,サッポロビール庭園,1,11109,1,1,,31,40,42.866812,141.605616,1110909,1110909,1110909,
227,恵庭,1,11109,1,1,,31,40,42.883076,141.586234,1110910,1110910,1110910,
228,恵み野,1,11109,1,1,,31,40,42.902704,141.574429,1110911,1110911,1110911,
229,島松,1,11109,1,1,,31,40,42.922504,141.573117,1110912,1110912,1110912,
230,北広島,1,11109,1,1,,33,42,42.979239,141.563115,1110913,1110913,1110913,
231,上野幌,1,11109,1,1,,1,8,43.016177,141.487317,1110914,1110914,1110914,
232,新札幌,1,11109,1,1,,1,8,43.038732,141.47237,1110915,1110915,1110915,
233,平和,1,11109,1,1,,1,4,43.04695,141.437967,1110916,1110916,1110916,
234,白石,1,11109,1,1,,1,4,43.054715,141.413612,1110917,1110317,1110917,
235,苗穂,1,11109,1,1,,1,1,43.068574,141.377522,1110918,1110316,1110918,
236,札幌,1,11109,1,1,,1,2,43.068612,141.350768,1110919,1110315,1110919,
237,南千歳,1,11110,1,1,,24,33,42.80804,141.675388,1111001,1110906,1111001,
238,追分,1,11110,1,1,,142,151,42.873316,141.810678,1111002,1110506,1111002,
239,東追分,1,11110,1,1,,142,151,42.902377,141.83228,1111003,1111003,1111003,1
240,川端,1,11110,1,1,,76,85,42.914721,141.894791,1111004,1111004,1111004,
241,滝ノ上,1,11110,1,1,,9,18,42.910244,141.97628,1111005,1111005,1111005,
242,十三里,1,11110,1,1,,9,18,42.914667,142.024478,1111006,1111006,1111006,1
243,新夕張,1,11110,1,1,,9,18,42.936611,142.03657,1111007,1111007,1111007,
244,沼ノ沢,1,11110,1,1,,9,18,42.957586,142.030836,1111008,1111008,1111008,1
245,南清水沢,1,11110,1,1,,9,18,42.985272,142.006597,1111009,1111009,1111009,1
246,清水沢,1,11110,1,1,,9,18,42.99827,142.007285,1111010,1111010,1111010,1
247,鹿ノ谷,1,11110,1,1,,9,18,43.039447,141.964476,1111011,1111011,1111011,1
248,夕張,1,11110,1,1,,9,18,43.050926,141.967472,1111012,1111012,1111012,1
249,占冠,1,11110,1,1,,98,107,42.993088,142.400078,1111013,1111013,1111013,
250,トマム,1,11110,1,1,,98,107,43.055913,142.610937,1111014,1111014,1111014,
251,新得,1,11110,1,1,,155,164,43.082501,142.832432,1111015,1110618,1111015,
252,苫小牧,1,11111,1,1,,13,22,42.639665,141.596837,1111101,1110434,1111101,
253,勇払,1,11111,1,1,,13,22,42.632805,141.727667,1111102,1111102,1111102,
254,浜厚真,1,11111,1,1,,140,149,42.606725,141.837071,1111103,1111103,1111103,
255,浜田浦,1,11111,1,1,,143,152,42.590722,141.88362,1111104,1111104,1111104,
256,鵡川,1,11111,1,1,,143,152,42.578953,141.923892,1111105,1111105,1111105,
257,汐見,1,11111,1,1,,143,152,42.550235,141.945255,1111106,1111106,1111106,1
258,富川,1,11111,1,1,,144,153,42.516865,142.020855,1111107,1111107,1111107,1
259,日高門別,1,11111,1,1,,144,153,42.481237,142.072692,1111108,1111108,1111108,1
260,豊郷,1,11111,1,1,,144,153,42.470119,142.122493,1111109,1111109,1111109,1
261,清畠,1,11111,1,1,,144,153,42.455709,142.176624,1111110,1111110,1111110,1
262,厚賀,1,11111,1,1,,144,153,42.430507,142.215896,1111111,1111111,1111111,1
263,大狩部,1,11111,1,1,,146,155,42.395695,142.259355,1111112,1111112,1111112,1
264,節婦,1,11111,1,1,,146,155,42.38248,142.275541,1111113,1111113,1111113,1
265,新冠,1,11111,1,1,,146,155,42.360667,142.312585,1111114,1111114,1111114,1
266,静内,1,11111,1,1,,150,159,42.336559,142.360402,1111115,1111115,1111115,1
267,静内海水浴場,1,11111,1,1,,150,159,42.314084,142.400665,1111116,1111116,1111116,1
268,東静内,1,11111,1,1,,150,159,42.304416,142.450485,1111117,1111117,1111117,1
269,春立,1,11111,1,1,,150,159,42.268515,142.498943,1111118,1111118,1111118,1
270,日高東別,1,11111,1,1,,150,159,42.280837,142.521371,1111119,1111119,1111119,1
271,日高三石,1,11111,1,1,,150,159,42.247269,142.566859,1111120,1111120,1111120,1
272,蓬栄,1,11111,1,1,,150,159,42.264636,142.604517,1111121,1111121,1111121,1
273,本桐,1,11111,1,1,,150,159,42.248205,142.630455,1111122,1111122,1111122,1
274,荻伏,1,11111,1,1,,147,156,42.206136,142.689432,1111123,1111123,1111123,1
275,絵笛,1,11111,1,1,,147,156,42.198428,142.736134,1111124,1111124,1111124,1
276,浦河,1,11111,1,1,,147,156,42.168366,142.769976,1111125,1111125,1111125,1
277,東町,1,11111,1,1,,147,156,42.156037,142.788931,1111126,1111126,1111126,1
278,日高幌別,1,11111,1,1,,147,156,42.142338,142.834519,1111127,1111127,1111127,1
279,鵜苫,1,11111,1,1,,148,157,42.134449,142.882513,1111128,1111128,1111128,1
280,西様似,1,11111,1,1,,148,157,42.138411,142.908737,1111129,1111129,1111129,1
281,様似,1,11111,1,1,,148,157,42.127936,142.93596,1111130,1111130,1111130,1
282,札幌,1,11112,1,1,,1,2,43.068612,141.350768,1111201,1110315,1111201,
283,桑園,1,11112,1,1,,1,1,43.070744,141.332036,1111202,1110314,1111202,
284,八軒,1,11112,1,1,,1,7,43.085845,141.319145,1111203,1111203,1111203,
285,新川,1,11112,1,1,,1,2,43.098604,141.323824,1111204,1111204,1111204,
286,新琴似,1,11112,1,1,,1,2,43.112928,141.335105,1111205,1111205,1111205,
287,太平,1,11112,1,1,,1,2,43.12401,141.349526,1111206,1111206,1111206,
288,百合が原,1,11112,1,1,,1,2,43.131476,141.360672,1111207,1111207,1111207,
289,篠路,1,11112,1,1,,1,2,43.145152,141.364323,1111208,1111208,1111208,
290,拓北,1,11112,1,1,,1,2,43.155568,141.381013,1111209,1111209,1111209,
291,あいの里教育大,1,11112,1,1,,1,2,43.15528,141.39842,1111210,1111210,1111210,
