109,アスク芝浦４丁目保育園,アスク芝浦4丁目保育園,東京都港区芝浦4-12-28
110,しばうら保育園,しばうら保育園,東京都港区芝浦3-1-16
111,デイジー保育園芝浦,デイジー保育園芝浦,東京都港区芝浦4-17-3 芝浦NAビル3階
112,ニチイキッズ白金台保育園,ニチイキッズ白金台保育園,東京都港区白金台2-26-10 グリーンオーク高輪台2階
113,えほんのもり白金台保育園,えほんのもり白金台保育園,東京都港区白金台2-11-3
114,白金保育園,白金保育園,東京都港区白金3-10-12
115,ゆらりん白金保育園,ゆらりん白金保育園,東京都港区白金1-26-10 白金K-FLAT1階､2階の一部
116,みつばち保育園,みつばち保育園,東京都港区白金4-7-2
117,マリー保育園白金高輪,マリー保育園白金高輪,東京都港区白金3-2-3
118,太陽の子三田保育園,太陽の子三田保育園,東京都港区三田1-2-18 TTD PLAZAﾋﾞﾙ2階
119,あい保育園赤羽橋,あい保育園赤羽橋,東京都港区三田1-3-31 Forecast三田2階
120,伊皿子坂保育園,伊皿子坂保育園,東京都港区三田4-19-30
121,太陽の子三田五丁目保育園,太陽の子三田五丁目保育園,東京都港区三田5-4-3 三田ﾌﾟﾗｻﾞﾋﾞﾙ3階
122,高輪保育園,高輪保育園,東京都港区高輪3-18-15
123,みなと保育園,みなと保育園,東京都港区高輪1-6-9
124,愛星保育園,愛星保育園,東京都港区高輪1-27-40
125,高輪夢保育園,高輪夢保育園,東京都港区高輪3-25-33 長田ﾋﾞﾙ3階
126,ゆらりん高輪保育園,ゆらりん高輪保育園,東京都港区高輪1-5-38 HUG高輪1階､2階
127,高輪さつき保育園,高輪さつき保育園,東京都港区高輪1-16-15 自動車部品会館2階
128,さくらさくみらい高輪,さくらさくみらい高輪,東京都港区高輪2-6-21
129,こうなん保育園,こうなん保育園,東京都港区港南4-2-3-101
130,ゆらりん港南保育園,ゆらりん港南保育園,東京都港区港南1-6-27 芝浦ｸﾘｽﾀﾙ品川港南2階
131,ベネッセ港南保育園,ベネッセ港南保育園,東京都港区港南4-6-7
132,たかはま保育園,たかはま保育園,東京都港区港南4-3-7
133,グローバルキッズ港南保育園,グローバルキッズ港南保育園,東京都港区港南4-1-8 リバージュ品川2階
134,ふたばクラブ港南保育園,ふたばクラブ港南保育園,東京都港区港南2-16-6 CanonSタワー
135,ゆらりんはぁと保育園,ゆらりんはぁと保育園,東京都港区港南1-8-23 ShinagawaHEART2階
136,ゆらりん港南緑水保育園,ゆらりん港南緑水保育園,東京都港区港南4-7-37(港南緑水公園内)
137,台場保育園,台場保育園,東京都港区台場1-5-1
138,グローバルキッズ愛住町園,グローバルキッズ愛住町園,東京都新宿区愛住町6
139,グローバルキッズ若葉園,グローバルキッズ若葉園,東京都新宿区若葉1-9
140,二葉南元保育園,二葉南元保育園,東京都新宿区南元町4
141,新宿三つの木保育園もりさんかくしかく,新宿三つの木保育園もりさんかくしかく,東京都新宿区大京町29
142,フロンティアキッズ新宿,フロンティアキッズ新宿,東京都新宿区新宿6-27-56 新宿スクエアビル2階
143,新宿成子坂愛育園,新宿成子坂愛育園,東京都新宿区西新宿6-7-39
144,グローバルキッズ西新宿園,グローバルキッズ西新宿園,東京都新宿区西新宿5-5-1
145,グローバルキッズ西落合保育園,グローバルキッズ西落合保育園,東京都新宿区西落合3-19-9
146,キッズガーデン新宿西落合,キッズガーデン新宿西落合,東京都新宿区西落合2-7-16 伊勢光ビル2・3階
147,中落合第ニ保育園,中落合第ニ保育園,東京都新宿区中落合2-7-24
148,新宿こだま保育園,新宿こだま保育園,東京都新宿区中落合4-25-19
149,下落合そらいろ保育園,下落合そらいろ保育園,東京都新宿区中落合2-7-5
150,キッズタウン下落合保育園,キッズタウン下落合保育園,東京都新宿区下落合1-9-10
151,八幡神社愛育園,八幡神社愛育園,東京都新宿区上落合1-26-19
152,あい保育園落合,あい保育園落合,東京都新宿区上落合1-5-2 羽場ﾋﾞﾙﾃﾞｨﾝｸﾞ1~3階
153,ほっぺるランド上落合,ほっぺるランド上落合,東京都新宿区上落合1-15-13
154,獅子吼保育園,獅子吼保育園,東京都新宿区中井2-8-6
155,ほっぺるランド早稲田鶴巻町,ほっぺるランド早稲田鶴巻町,東京都新宿区早稲田鶴巻町575-1 早稲田鶴巻町パーク・ホームズ1階
156,早稲田南町保育園,早稲田南町保育園,東京都新宿区早稲田南町50
157,戸山第ニ保育園,戸山第ニ保育園,東京都新宿区戸山2-18-101
158,原町みゆき保育園,原町みゆき保育園,東京都新宿区原町2-43
159,至誠会保育園,至誠会保育園,東京都新宿区河田町10-13
160,アスク薬王寺保育園,アスク薬王寺保育園,東京都新宿区市谷薬王寺町51
161,ニチイキッズ曙橋保育園,ニチイキッズ曙橋保育園,東京都新宿区市谷台町1-3 モデラート1階
162,富久町保育園,富久町保育園,東京都新宿区富久町22-21
163,アスク神楽坂保育園,アスク神楽坂保育園,東京都新宿区矢来町98-1 スキップビル1階
164,ほっぺるランド神楽坂,ほっぺるランド神楽坂,東京都新宿区榎町43-1 ユニゾ神楽坂ビル2F・3F
165,東五軒町保育園,東五軒町保育園,東京都新宿区東五軒町5-24
166,太陽の子新小川町保育園,太陽の子新小川町保育園,東京都新宿区新小川町1-8 こだまﾋﾞﾙ2階
167,小学館アカデミー飯田橋ガーデン保育園,小学館アカデミー飯田橋ガーデン保育園,東京都新宿区新小川町4-11
168,グローバルキッズ神楽坂園,グローバルキッズ神楽坂園,東京都新宿区神楽坂4-8 神楽坂プラザビル1階
169,ぽけっとランド市ヶ谷保育園,ぽけっとランド市ヶ谷保育園,東京都新宿区市谷船河原町1 市ヶ谷エスワンビル2・3階
170,アスク新宿南町保育園,アスク新宿南町保育園,東京都新宿区南町20-3
171,ポピンズナーサリースクール市ヶ谷,ポピンズナーサリースクール市ヶ谷,東京都新宿区払方町19-1 エムジー市ヶ谷ビル2階・3階
172,ポピンズナーサリースクール四ッ谷,ポピンズナーサリースクール四ッ谷,東京都新宿区市谷本村町2-10 ストリーム市ヶ谷3階
173,長延保育園,長延保育園,東京都新宿区市谷長延寺町8
174,弁天町保育園,弁天町保育園,"東京都新宿区:〒162-0042 新宿区早稲田町78
新園舎:新宿区弁天町50(令和6年完成予定)"
175,西早稲田保育園,西早稲田保育園,東京都新宿区西早稲田1-9-30
176,大久保第一保育園,大久保第一保育園,東京都新宿区大久保3-11-1
177,エイビイシイ保育園,エイビイシイ保育園,東京都新宿区大久保2-11-5
178,にじいろ保育園高田馬場南,にじいろ保育園高田馬場南,東京都新宿区大久保3-8-4 住友不動産新宿ｶﾞｰﾃﾞﾝﾀﾜｰｱﾈｯｸｽ2階
179,ほっぺるランド牛込,ほっぺるランド牛込,東京都新宿区北山伏町1-2
180,ほっぺるランド新大久保,ほっぺるランド新大久保,東京都新宿区大久保1-16-20
181,百人町保育園,百人町保育園,東京都新宿区百人町2-18-21
182,新栄保育園,新栄保育園,東京都新宿区百人町3-21-14
183,クオリスキッズおおくぼ保育園,クオリスキッズおおくぼ保育園,東京都新宿区百人町2-22-6
184,東京母子愛育会保育園,東京母子愛育会保育園,東京都新宿区北新宿4-21-14
185,ほっぺるランド北新宿,ほっぺるランド北新宿,東京都新宿区北新宿3-9-20
186,アスク北新宿保育園,アスク北新宿保育園,東京都新宿区北新宿2-4-11
187,高田馬場第ニ保育園,高田馬場第ニ保育園,東京都新宿区高田馬場1-4-17
188,オルト保育園,オルト保育園,東京都新宿区高田馬場3-40-3
189,にじいろ保育園高田馬場西,にじいろ保育園高田馬場西,東京都新宿区高田馬場1-24-16 内田ﾋﾞﾙ1F
190,にじいろ保育園高田馬場東,にじいろ保育園高田馬場東,東京都新宿区高田馬場1-16-26
191,保育所まぁむ高田馬場駅前園,保育所まぁむ高田馬場駅前園,東京都新宿区高田馬場3-1-5 花川第2ﾋﾞﾙ1･2F
192,文京区立さしがや保育園,文京区立さしがや保育園,東京都文京区白山2-32-6
193,キッズソフィア・白山保育園,キッズソフィア・白山保育園,東京都文京区白山4-36-13
194,白山ひかり保育園,白山ひかり保育園,東京都文京区白山2-29-9
195,ベネッセかごまち保育園,ベネッセかごまち保育園,東京都文京区白山5-17-17
196,木下の保育園白山,木下の保育園白山,東京都文京区白山2-15-12
197,こころぶんきょうみょうがだに保育園,こころぶんきょうみょうがだに保育園,東京都文京区白山3-3-3
198,文京区立久堅保育園,文京区立久堅保育園,東京都文京区小石川5-27-7
199,文京区立柳町保育園,文京区立柳町保育園,東京都文京区小石川1-23-6
200,小学館アカデミー小石川保育園,小学館アカデミー小石川保育園,東京都文京区小石川2-1-12
201,にじのいるか保育園小石川,にじのいるか保育園小石川,東京都文京区小石川1-24-3
202,ハッピーマム茗荷谷,ハッピーマム茗荷谷,東京都文京区小石川5-4-1
203,富坂まきば保育園,富坂まきば保育園,東京都文京区小石川2-17-40
204,モニカ茗荷谷駅前園,モニカ茗荷谷駅前園,東京都文京区小石川5-3-2 エイト印刷ビル2階
205,茗荷谷ここわ保育園,茗荷谷ここわ保育園,東京都文京区小石川5-8-1
206,グローバルキッズ茗荷谷園,グローバルキッズ茗荷谷園,東京都文京区小石川5-38-11
207,グローバルキッズ後楽二丁目園,グローバルキッズ後楽二丁目園,東京都文京区後楽2-20-15
208,テンダーラビング保育園小石川,テンダーラビング保育園小石川,東京都文京区後楽1-8-13 小石川運動場内
209,文京区立水道保育園,文京区立水道保育園,東京都文京区水道1-3-26
210,さくらさくみらい　水道,さくらさくみらい水道,東京都文京区水道2-14-10
211,文京区立こひなた保育園,文京区立こひなた保育園,東京都文京区小日向1-21-1
212,さくらさくみらい小日向,さくらさくみらい小日向,東京都文京区小日向2-18-3
213,文京区立千石保育園,文京区立千石保育園,東京都文京区千石1-4-3
214,文京区立千石西保育園,文京区立千石西保育園,東京都文京区千石3-15-15
215,ベネッセ千石保育園,ベネッセ千石保育園,東京都文京区千石4-45-2
216,にじのいるか保育園千石,にじのいるか保育園千石,東京都文京区千石2-8-9
217,えがおの森保育園・せんごく,えがおの森保育園･せんごく,東京都文京区千石1-29-4
218,にじのいるか保育園千石第二,にじのいるか保育園千石第二,東京都文京区千石3-39-15
219,文京区立大塚保育園,文京区立大塚保育園,東京都文京区大塚6-22-19
220,まなびの森保育園茗荷谷,まなびの森保育園茗荷谷,東京都文京区大塚3-20-5
221,小学館アカデミー茗荷谷保育園,小学館アカデミー茗荷谷保育園,東京都文京区大塚1-4-15
222,グローバルキッズ新大塚園,グローバルキッズ新大塚園,東京都文京区大塚5-3-13
223,テンダーラビング保育園茗荷谷園,テンダーラビング保育園茗荷谷園,東京都文京区大塚4-41-12
224,ちゃいれっく新大塚駅前保育園,ちゃいれっく新大塚駅前保育園,東京都文京区大塚4-48-7 ｷｭﾗｰｽﾞ新大塚2階
225,さくらさくみらい　護国寺,さくらさくみらい護国寺,東京都文京区大塚6-37-5 藤和護国寺ｺｰﾌﾟ1階
226,大空と大地のなーさりぃ茗荷谷園,大空と大地のなーさりぃ茗荷谷園,東京都文京区大塚3-27-1
227,グローバルキッズ大塚四丁目園,グローバルキッズ大塚四丁目園,東京都文京区大塚4-11-2
228,八千代保育園,八千代保育園,東京都文京区音羽1-19-18
229,文京区立青柳保育園,文京区立青柳保育園,東京都文京区関口3-2-5
230,損保ジャパン日本興亜スマイルキッズ江戸川橋保育園,損保ジャパン日本興亜スマイルキッズ江戸川橋保育園,東京都文京区関口1-45-15
231,キッズパートナー文京関口,キッズパートナー文京関口,東京都文京区関口1-20-6
232,文京区立目白台保育園,文京区立目白台保育園,東京都文京区目白台1-5-1
233,同仁美登里保育園,同仁美登里保育園,東京都文京区目白台3-10-9
234,テンダーラビング保育園音羽,テンダーラビング保育園音羽,東京都文京区目白台3-4-14
235,文京区立本駒込保育園,文京区立本駒込保育園,東京都文京区本駒込5-63-2
236,文京区立本駒込南保育園,文京区立本駒込南保育園,東京都文京区本駒込3-11-14
237,文京区立本駒込西保育園,文京区立本駒込西保育園,東京都文京区本駒込2-9-16
238,アスク本駒込保育園,アスク本駒込保育園,東京都文京区本駒込2-1-23
239,本駒込プチ・クレイシュ,本駒込プチ・クレイシュ,東京都文京区本駒込3-22-4
240,クオリスキッズ駒込保育園,クオリスキッズ駒込保育園,東京都文京区本駒込5-71-6
241,モニカ本駒込園,モニカ本駒込園,東京都文京区本駒込3-20-3
242,こどもヶ丘保育園本駒込園,こどもヶ丘保育園本駒込園,東京都文京区本駒込4-42-14
243,こどもヶ丘保育園第二本駒込園,こどもヶ丘保育園第二本駒込園,東京都文京区本駒込4-3-1
244,文京区立駒込保育園,文京区立駒込保育園,東京都文京区千駄木3-19-17
245,文京区立しおみ保育園,文京区立しおみ保育園,東京都文京区千駄木2-27-8
246,どんぐり保育園,どんぐり保育園,東京都文京区千駄木2-48-4
247,ポピンズナーサリースクール千駄木,ポピンズナーサリースクール千駄木,東京都文京区千駄木2-16-7
248,テンダーラビング保育園千駄木,テンダーラビング保育園千駄木,東京都文京区千駄木2-11-3
249,うぃず千駄木保育園,うぃず千駄木保育園,東京都文京区千駄木1-15-12
250,文京区立向丘保育園,文京区立向丘保育園,東京都文京区向丘1-3-11
251,保育所まぁむ東大前園,保育所まぁむ東大前園,東京都文京区向丘1-16-26
252,こころの保育園文京西片,こころの保育園文京西片,東京都文京区西片2-1-1
253,キッズガーデン文京春日,キッズガーデン文京春日,東京都文京区西片1-17-8
